Index,Value
2.257213372664700273e+03,4.582425799007034470e+02
2.258214355948869070e+03,4.584923035428397498e+02
2.259215339233038321e+03,4.587459567496907198e+02
2.260216322517207573e+03,4.590025938336556237e+02
2.261217305801376824e+03,4.592612420423261028e+02
2.262218289085545621e+03,4.595209113378647885e+02
2.263219272369714872e+03,4.597806043491482342e+02
2.264220255653884124e+03,4.600393263970362341e+02
2.265221238938052920e+03,4.602960954923975123e+02
2.266222222222222172e+03,4.605499522067947282e+02
2.267223205506391423e+03,4.607999693170043543e+02
2.268224188790560675e+03,4.610452611268164560e+02
2.269225172074729471e+03,4.612849923727838473e+02
2.270226155358898723e+03,4.615183866247609217e+02
2.271227138643067974e+03,4.617447340971259564e+02
2.272228121927236771e+03,4.619633987924837015e+02
2.273229105211406022e+03,4.621738249063269564e+02
2.274230088495575274e+03,4.623755424285325262e+02
2.275231071779744525e+03,4.625681718856112639e+02
2.276232055063913322e+03,4.627514281762320252e+02
2.277233038348082573e+03,4.629251234616162947e+02
2.278234021632251824e+03,4.630891690818644406e+02
2.279235004916420621e+03,4.632435764790242274e+02
2.280235988200589873e+03,4.633884571176571967e+02
2.281236971484759124e+03,4.635240214036950306e+02
2.282237954768928375e+03,4.636505766124051888e+02
2.283238938053097172e+03,4.637685238462065627e+02
2.284239921337266424e+03,4.638783540527893479e+02
2.285240904621435675e+03,4.639806431433962075e+02
2.286241887905604926e+03,4.640760462601379572e+02
2.287242871189773723e+03,4.641652912497286252e+02
2.288243854473942974e+03,4.642491714089762240e+02
2.289244837758112226e+03,4.643285375746493742e+02
2.290245821042281023e+03,4.644042896369118125e+02
2.291246804326450274e+03,4.644773675612796637e+02
2.292247787610619525e+03,4.645487420089820034e+02
2.293248770894788777e+03,4.646194046496242436e+02
2.294249754178957573e+03,4.646903582631337031e+02
2.295250737463126825e+03,4.647626067300769250e+02
2.296251720747296076e+03,4.648371450105561848e+02
2.297252704031465328e+03,4.649149492120063769e+02
2.298253687315634124e+03,4.649969668453241525e+02
2.299254670599803376e+03,4.650841073668746617e+02
2.300255653883972627e+03,4.651772331010610628e+02
2.301256637168141424e+03,4.652771506343302690e+02
2.302257620452310675e+03,4.653846027667695466e+02
2.303258603736479927e+03,4.654614705413949878e+02
2.304259587020648723e+03,4.654357812955218492e+02
2.305260570304817975e+03,4.654194018573139715e+02
2.306261553588987226e+03,4.654127532299525001e+02
2.307262536873156478e+03,4.654161633334450698e+02
2.308263520157325274e+03,4.654298637457335985e+02
2.309264503441494526e+03,4.654539874078751609e+02
2.310265486725663777e+03,4.654885673162691546e+02
2.311266470009833029e+03,4.655335362150190122e+02
2.312267453294001825e+03,4.655887272915079507e+02
2.313268436578171077e+03,4.656538758682225421e+02
2.314269419862340328e+03,4.657286220738831162e+02
2.315270403146509125e+03,4.658125144671387261e+02
2.316271386430678376e+03,4.659050145765476714e+02
2.317272369714847628e+03,4.660055023113865786e+02
2.318273352999016879e+03,4.661132821891209232e+02
2.319274336283185676e+03,4.662275903171874916e+02
2.320275319567354927e+03,4.663476020591917290e+02
2.321276302851524179e+03,4.664724403087656697e+02
2.322277286135693430e+03,4.666011842882586507e+02
2.323278269419862227e+03,4.667328787841665871e+02
2.324279252704031478e+03,4.668665437268427922e+02
2.325280235988200729e+03,4.670011840185823075e+02
2.326281219272369526e+03,4.671357995116857182e+02
2.327282202556538778e+03,4.672693950366078184e+02
2.328283185840708029e+03,4.674009903797943366e+02
2.329284169124877280e+03,4.675296301113145887e+02
2.330285152409046077e+03,4.676543931639003517e+02
2.331286135693215329e+03,4.677744020674908256e+02
2.332287118977384580e+03,4.678888317468335458e+02
2.333288102261553831e+03,4.679969177940632790e+02
2.334289085545722628e+03,4.680979641334381540e+02
2.335290068829891879e+03,4.681913500014991314e+02
2.336291052114061131e+03,4.682765361727693403e+02
2.337292035398229928e+03,4.683530703686663514e+02
2.338293018682399179e+03,4.684205917954747065e+02
2.339294001966568430e+03,4.684788347659476244e+02
2.340294985250737227e+03,4.685276313682795148e+02
2.341295968534906478e+03,4.685669131557280025e+02
2.342296951819075730e+03,4.685967118399706237e+02
2.343297935103244981e+03,4.686171589812522598e+02
2.344298918387413778e+03,4.686284846784257070e+02
2.345299901671583029e+03,4.686310152719995017e+02
2.346300884955752281e+03,4.686251700831858216e+02
2.347301868239921532e+03,4.686114572215964245e+02
2.348302851524090329e+03,4.685904685035558259e+02
2.349303834808259580e+03,4.685628735319049269e+02
2.350304818092428832e+03,4.685294129965637353e+02
2.351305801376597628e+03,4.684908912629242650e+02
2.352306784660766880e+03,4.684481683222711013e+02
2.353307767944936131e+03,4.684021511848177965e+02
2.354308751229105383e+03,4.683537848015244549e+02
2.355309734513274179e+03,4.683040426055828789e+02
2.356310717797443431e+03,4.682539167682579091e+02
2.357311701081612682e+03,4.682044082666409395e+02
2.358312684365781934e+03,4.681565168627462867e+02
2.359313667649950730e+03,4.681112310942755244e+02
2.360314650934119982e+03,4.680695183772535302e+02
2.361315634218289233e+03,4.680323153196245585e+02
2.362316617502458030e+03,4.680005183427785482e+02
2.363317600786627281e+03,4.679749747049010011e+02
2.364318584070796533e+03,4.679564740160150791e+02
2.365319567354965329e+03,4.679457403296598841e+02
2.366320550639134581e+03,4.679434248903787648e+02
2.367321533923303832e+03,4.679500996096267045e+02
2.368322517207473084e+03,4.679662513354090265e+02
2.369323500491641880e+03,4.679922769730225696e+02
2.370324483775811132e+03,4.680284795057471001e+02
2.371325467059980383e+03,4.680750649553252742e+02
2.372326450344149634e+03,4.681321403126616474e+02
2.373327433628318431e+03,4.681997124594572028e+02
2.374328416912487683e+03,4.682776880915781135e+02
2.375329400196656934e+03,4.683658746449231103e+02
2.376330383480825731e+03,4.684639822145241510e+02
2.377331366764994982e+03,4.685716264476683364e+02
2.378332350049164233e+03,4.686883323820754299e+02
2.379333333333333485e+03,4.688135391907096050e+02
2.380334316617502282e+03,4.689466057857240457e+02
2.381335299901671533e+03,4.690868172254357660e+02
2.382336283185840784e+03,4.692333918601889877e+02
2.383337266470010036e+03,4.693854891455716256e+02
2.384338249754178833e+03,4.695422180447623646e+02
2.385339233038348084e+03,4.697026459358930879e+02
2.386340216322517335e+03,4.698658079352521781e+02
2.387341199606686132e+03,4.700307165429941847e+02
2.388342182890855383e+03,4.701963715147892344e+02
2.389343166175024635e+03,4.703617698605871169e+02
2.390344149459193886e+03,4.705259158703958633e+02
2.391345132743362683e+03,4.706878310667049732e+02
2.392346116027531934e+03,4.708465639839188270e+02
2.393347099311701186e+03,4.710011996768970448e+02
2.394348082595870437e+03,4.711508688634090163e+02
2.395349065880039234e+03,4.712947566089784459e+02
2.396350049164208485e+03,4.714321104671716967e+02
2.397351032448377737e+03,4.715622479938367633e+02
2.398352015732546533e+03,4.716845635600682840e+02
2.399352999016715785e+03,4.717985343956927977e+02
2.400353982300885036e+03,4.719037258027738631e+02
2.401354965585053833e+03,4.719997954869438672e+02
2.402355948869223084e+03,4.720864969632038992e+02
2.403356932153392336e+03,4.721636820020956975e+02
2.404357915437561587e+03,4.722313020917592326e+02
2.405358898721730384e+03,4.722894089012412451e+02
2.406359882005899635e+03,4.723381537404179653e+02
2.407360865290068887e+03,4.723777860219412332e+02
2.408361848574238138e+03,4.724086507406091755e+02
2.409362831858406935e+03,4.724311849953973024e+02
2.410363815142576186e+03,4.724459135889733830e+02
2.411364798426745438e+03,4.724534437487499190e+02
2.412365781710914234e+03,4.724544590223300702e+02
2.413366764995083486e+03,4.724497124084609823e+02
2.414367748279252737e+03,4.724400187922661303e+02
2.415368731563421989e+03,4.724262467604937115e+02
2.416369714847590785e+03,4.724093098787221265e+02
2.417370698131760037e+03,4.723901575178530834e+02
2.418371681415929288e+03,4.723697653217331549e+02
2.419372664700098539e+03,4.723491254113393438e+02
2.420373647984267336e+03,4.723292364235990703e+02
2.421374631268436588e+03,4.723110934845719271e+02
2.422375614552605839e+03,4.722956782173802708e+02
2.423376597836774636e+03,4.722839488849215854e+02
2.424377581120943887e+03,4.722768307660522282e+02
2.425378564405113138e+03,4.722752068615933467e+02
2.426379547689282390e+03,4.722799090232045955e+02
2.427380530973451187e+03,4.722917095939423575e+02
2.428381514257620438e+03,4.723113136441942288e+02
2.429382497541789689e+03,4.723393518807212672e+02
2.430383480825958941e+03,4.723763742998004318e+02
2.431384464110127738e+03,4.724228446480121875e+02
2.432385447394296989e+03,4.724791357461303960e+02
2.433386430678466240e+03,4.725455257229318136e+02
2.434387413962635037e+03,4.726221951966332426e+02
2.435388397246804288e+03,4.727092254321785276e+02
2.436389380530973540e+03,4.728065974928238688e+02
2.437390363815142337e+03,4.729141923945218196e+02
2.438391347099311588e+03,4.730317922615603834e+02
2.439392330383480839e+03,4.731590824718909403e+02
2.440393313667650091e+03,4.732956547706720016e+02
2.441394296951818887e+03,4.734410113208614348e+02
2.442395280235988139e+03,4.735945696503095519e+02
2.443396263520157390e+03,4.737556684458271548e+02
2.444397246804326642e+03,4.739235741362313092e+02
2.445398230088495438e+03,4.740974881984626563e+02
